МФК;Факультет;Формат;Курс читают;Описание
Государство, его номология, моделирование и прогнозирование;Механико-математический факультет;Online-курс;Захаров В. К. (профессор) ;Данный курс лекций предназначен для студентов с широким познавательным интересом к устройству и деятельности такой сложнейшей системы общества, как государство в широком смысле, близком к слову «страна».  Для понимания государства-страны как особой системы нужен широкий междисциплинарный подход. Нужно свести вместе знания, накопленные в философии, антропологии и психологии (мир, его вещественная и мысленная части, человек в мире, его сознание и подсознание), в социальной философии (общество, его архетипы бытия, социальные побуждения, целеполагание, социогенетика, социодинамика), в истории (возникновение государственных форм), в политологии (государство, государственное управление), в экономике (блага, деньги, стоимость, бюджет, налоги, банки), в системологии (система, структура, эмергентно...                        
Информатика, экономика, бизнес-консалтинг;Механико-математический факультет;Online-курс;Зеликин Н. В. (научный сотрудник) ;Курс знакомит с профессиональным консалтингом в области управления предприятиями. В центре рассмотрения находится современная компания. Излагается комплексный подход к анализу и моделированию бизнес-процессов компании, построению эффективной системы учета и управления на предприятии и созданию информационных платформ автоматизированных систем. ...                        
Современные проблемы моделирования добычи нефти и газа;Механико-математический факультет;Online-курс;Колдоба Е. В. (доцент) ;Как известно, компьютерное моделирование природных пластовых систем используется для прогнозирования разработки месторождений углеводородов и мониторинга их эксплуатации. Создаются различные гидродинамические симуляторы нового поколения, способные моделировать сложнейшие задачи. В основе этих программ лежат результаты фундаментальных исследований в гидродинамике и новейшие достижения в компьютерных технологиях. Моделирование нефтяных и газовых месторождений - одна из сложнейших наукоёмких задач, для решения которой требуется широкий диапазон знаний: физика растворов, термодинамика, подземная гидродинамика, вычислительная математика и компьютерные технологии. В курсе лекций рассматриваются актуальные проблемы, которые входят в приоритетные направления развития науки и техники Российской Фед...                        
Язык программирования SQL;Факультет вычислительной математики и кибернетики;Online-курс;Барашков И. С. ;  Настоящий курс создан по инициативе компании Postgres Professional – вендора СУБД PostgreSQL в России на основе учебного пособия «PostgreSQL. Основы языка SQL», написанного Н.П. Моргуновым. Учебный материал излагается в расчете на использование системы управления базами данных PostgreSQL. Этот курс может быть полезен широкому кругу студентов и специалистов, желающих ознакомиться с основами языка SQL в среде системы управления базами данных PostgreSQL.  Курс начинается с разработки простых запросов на языке SQL, а в конце рассмотрены такие конструкции как общие табличные выражения, агрегатные и оконные функции, тип данных JSON, фактически обеспечивающий возможность применения PostgreSQL в качестве noSQL-системы. Учебные примеры используют демонстрационную базу данных «Авиаперевозки», соде...                        
Введение в Википедию;Факультет вычислительной математики и кибернетики;Online-курс;;  Курс повещён изучению Википедии в её разных аспектах: как информационный ресурс, средство массовой информации и социальная сеть. Рассматривается история создания Википедии, этапы её развития, основные характеристики и значение в современном мире. Те, кто привык пользоваться Википедией как информационным ресурсом, смогут узнать, благодаря чему её статьи отличаются актуальностью и достоверностью. Раскрываются правила работы сообщества Википедии, основанного на принципах иерархической саморегуляции. Курс предполагает знакомство с основополагающими правилами и инструментами, связанными с созданием и редактированием статей, внесением правок, защитой статей от удаления.  Курс предусматривает изучение программного языка Викиразметки – самого распространённого языка программирования в мире, обуч...                        
Квантовый мир;Факультет вычислительной математики и кибернетики;Online-курс;Ожигов Ю. И. (профессор) ;  Курс рассчитан на студентов 1-6 лет обучения всех специальностей. В нем будет рассказано о истории квантовой физики, развитии ее основных положений и нынешней огромной роли в естествознании. Главные тезисы квантовой механики демонстрируются на наглядных примерах: интерференции фотонов, динамики массивных частиц, измерениях, особенностях много-частичных ансамблей. Будет показана глубокая связь квантовой теории с суперкомпьютерными вычислениями и классическим параллелизмом. Разбираются приложения квантовой теории: квантовая криптография, квантовые компьютеры, а также фрагменты квантовой биологии. ...                        
Кинематограф и общество. Лауреаты Пулитцеровской премии в зеркале кинематографа. Цикл 3 (1986-2020);Факультет вычислительной математики и кибернетики;Online-курс;Сурин А. В. (зав.кафедрой) ;"Курс является третьей частью цикла курсов ""Кинематограф и общество. Лауреаты Пулитцеровских премий в зеркале кинематографа (1919-2019)""и развитием курсов ""Кинематограф и общество. Лауреаты Нобелевской премии политературе в зеркале кинематографа (1901-2017)""...                        "
Биофизика: от неживого к живому, от принципов к механизмам;Физический факультет;Online-курс;Твердислов В. А. (зав.кафедрой) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курсв значительной степени нестандартен,обращен к фундаментальным проблемамЖизни на Земле и во Вселенной, посвящёнанализу взаимосвязи живого и неживогов природе в представлениях «сквознойэволюции» с позиций физики. Излагаетсясовременный взгляд на то, как на Землевозникла и эволюционировала жизнь, какфундаментальные закономерности неживойприроды трансформировались в уникальныеструктуры и механизмы функционированияживых систем.Особоевнимание уделено проблемам преобразованияэнергии, вещества и информации в живыхсистемах, пространственно - временнойсамоорганизации в диссипативных системах(преимущественн...                        
Основы астрономии;Физический факультет;Online-курс;Сурдин В. Г. (доцент) ;"Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Речьпойдет об основных понятиях астрономиии особенностях работы астрономов, обих приборах и объектах изучения: о том,что можно увидеть в телескоп – планетах,звездах, галактиках; и том, что не видно– темном веществе и темной энергии.Мыузнаем, что такое небесные координаты,звездные величины и спектры, и как изнаблюдений можно узнать время, расстояние,химический состав и физические свойстванебесных объектов. Плавно перейдем квопросам строения и эволюции звезд –как звезды устроены, почему они невзрываются (а иногда и взрываются!),почему не сжимаются в точку (а пороюсжимаются!), за счет чего они излучают...                        "
Микромир и Вселенная;Физический факультет;Online-курс;Третьякова Т. Ю. (старший научный сотрудник) ;Цикл лекций представляет собой обзор фундаментальных вопросов современной физики от хорошо известных разделов классической физики до последних достижений в области физики атомного ядра, физики элементарных частиц и астрофизики. В лекциях рассмотрена эволюция основных идей физики, радикально изменивших наши представления, как о природе материи, так и о Вселенной в целом.    Курс лекций рассчитан на студентов нефизических специальностей, желающих понять мир, в котором мы живем....                        
Физические основы современных и перспективных вычислительных систем ;Физический факультет;Online-курс;Морозов В. Б. (доцент)Руденко К. В. (доцент) ;Лекционныйкурс знакомит слушателей с явлениями и процессами, лежащими в основе работысовременных компьютеров. В популярной форме дается объяснение фундаментальныхфизических понятий и законов, лежащих в основе работы базовых элементовкомпьютеров, физических ограничений на пути их совершенствования. Рассматриваетсятиповая структура и особенности реализации современных компьютеров. Приводятсяинтересные факты из истории разработки и создания компьютеров, технологий иустройств записи, хранения и обработки данных. Уделяется внимание вопросамсовершенствования элементной и технологической базы, рассмотрению ключевыхтехнологических операций при производстве современных интегральных микросхем,сравнению традиционных и перспективных материалов и технологий, оценкепредельных дости...                        
Невидимая элементарная частица нейтрино: уникальные свойства и роль в становлении современных представлений о материи;Физический факультет;Online-курс;Студеникин А. И. (профессор) ;"Курс посвящен нейтрино, которое занимает особое место среди многих десятков других известных в настоящее время элементарных частиц. Если взглянуть в прошлое и на настоящее Вселенной, то мы убеждаемся, что даже в сумме количество обычных частиц, из которых состоит обычное вещество – электронов, протонов и нейтронов – значительно меньше, чем количество нейтрино. Нейтрино играет важнейшую роль во многих явлениях, происходящих в окружающем нас мире. Без нейтрино невозможно объяснить:     процессы на ранней стадии      эволюции Вселенной;  остывание звезд;  возникновение и разнообразие      химических элементов, из которых состоит все вещество;  как      работает Солнце, дающее нам энергию и делающее возможным само наше      существование на Земле.    При этом, как это ни кажется парадоксальным...                        "
Магнетизм вокруг нас;Физический факультет;Online-курс;Грановский А. Б. (профессор)Копцик С. В. (старший научный сотрудник)Котельникова О. А. (доцент)Шалыгина Е. Е. (главный научный сотрудник)Шапаева Т. Б. (старший научный сотрудник) ;Цель изучения данного курса – познакомить студентов и аспирантов нефизических специальностей с базовыми понятиями физики магнитных явлений, дать представление о магнитных материалах и сферах их применения. В рамках курса дано объяснение как чисто научного (фундаментального) интереса к природе магнетизма и магнитного состояния вещества, так и некоторых аспектов практического использования законов магнетизма. Слушатели познакомятся с основными магнитными явлениями и способами их применения в науке и технике. В курсе проведена классификация современных магнитных материалов, даны примеры их использования и описаны основные методы их получения. Особое внимание уделено обсуждению применения достижений физики магнитных явлений в областях, смежных с физикой конденсированного состояния, – биологии,...                        
Микромир и макромир. Современное состояние исследований;Физический факультет;Online-курс;Широков Е. В. (доцент) ;Межфакультетскийкурс «Микромир и макромир. Современное состояние исследований» посвящёнразделам физики, связанным с изучением микромира (атомов, атомных ядер,нуклонов, кварков и других частиц Стандартной модели), а также ближнего идальнего космоса и в целом, Вселенной. Исследования последних десятилетийпозволили показать, что предметы изучения ядерной физики, физики частиц, физикикосмоса и астрофизики часто сходятся и лежат в плоскости изучения такихобъектов, как частицы, взаимодействия и общие закономерности, связывающие ихвоедино. Курс предполагает изложение в популярной форме основной информации обобъектах, начиная от атома и до закономерностей построения звёзд, галактик,галактических скоплений и других физических объектов. В курсе будет дана такжеинформация о наиб...                        
Научная революция XVI-XVII веков: ученые, власть, общество ;Физический факультет;Online-курс;Менцин Ю. Л. ;Западноевропейская научная революция XVI–XVII вв. по праву считается одним из величайших событий в истории человечества. В ходе этой революции были заложены основы естествознания нового типа,  достижения которого за несколько веков радикально изменили жизнь людей. Как оказалась возможной эта революция? Каким образом создателям новой науки удалось добиться поддержки общества и ряда властных структур? Какую роль ученые сыграли в решении важнейших социально-политических и экономических проблем Европы того времени и почему при этом поссорились с церковью?  Какие уроки научной революции актуальны для анализа современных проблем взаимоотношений науки и общества? – Вот круг вопросов, рассматриваемых в предлагаемом курсе.  Цель курса – познакомить студентов с некоторыми страницами социальной истор...                        
Проблемы современной рентгеновской астрофизики;Физический факультет;Online-курс;Сейфина Е. В. ;Межфакультетский курс «Проблемы современной рентгеновской астрофизики» является вводным курсом в астрофизику высоких энергий. На лекциях студенты знакомятся с процессами формирования рентгеновских спектров в условиях высокотемпературной и релятивистской плазмы в реальных космических источниках (в горячем газе в скоплениях галактик, вокруг релятивистских объектов – нейтронных звёзд и чёрных дыр в тесных двойных системах, пульсарах, ядрах активных галактик, квазарах и т.д.). Рентгеновские наблюдения последних десятилетий дают множество ответов на вопросы, не решаемые на основе оптических данных, особенно в области изучения черных дыр и нейтронных звезд, для которых основное энерговыделение происходит именно в рентгеновской области спектра. Курс предполагает изложение в популярной форме, по п...                        
Квантовые технологии: от парадоксов квантовой физики  до квантовых компьютеров и квантовой криптографии;Физический факультет;Online-курс;Владимирова Ю. В.Молотков С. Н.Кулик С. П. ;"Курспроводится дистанционно:Курслекций посвящен рассмотрению современногоуровня развития важной отрасли - квантовыхтехнологий, а также ее ближайших идолгосрочных перспектив. Какие продуктыожидает человечество в этой таинственнойобласти знания, которая выходит запределы нашего повседневного опыта?Какова роль научных исследований -  итеоретических, и экспериментальных,что такое ""квантовый инженер"", как""квантовые парадоксы"" помогаютучить студентов, что может/не можетквантовый компьютер, почему нельзяизвлечь информацию из одного фотона икак этот факт позволяет построитьабсолютно защищенные системы передачиинформации, а также многое другое - всеэти вопросы будут поставлены и разрешеныв курсе.Мырасскажем о том, как современныеинструменты физического эк...                        "
